"lhs","rhs","support","confidence","lift"
"{}","{status.asthmaticus}",0.01468416735028712,0.01468416735028712,1.0
"{}","{obesity}",0.011648892534864643,0.011648892534864643,1.0
"{}","{airway.obstruction}",0.013412633305988516,0.013412633305988516,1.0
"{}","{respiratory.tract.diseases}",0.01431501230516817,0.01431501230516817,1.0
"{}","{asthma..exercise.induced}",0.028547990155865465,0.028547990155865465,1.0
"{}","{cystic.fibrosis}",0.013740771123872026,0.013740771123872026,1.0
"{}","{rhinitis}",0.019196062346185396,0.019196062346185396,0.9999999999999999
"{}","{pneumonia}",0.015258408531583265,0.015258408531583265,1.0
"{}","{bronchial.hyperreactivity}",0.028178835110746512,0.028178835110746512,1.0
"{}","{eczema}",0.023256767842493847,0.023256767842493847,1.0
"{}","{rhinitis..allergic..perennial}",0.02469237079573421,0.02469237079573421,1.0
"{}","{dermatitis..atopic}",0.030968006562756358,0.030968006562756358,1.0
"{}","{rhinitis..allergic..seasonal}",0.03187038556193601,0.03187038556193601,1.0
"{}","{acute.disease}",0.03978671041837572,0.03978671041837572,1.0
"{}","{respiratory.tract.infections}",0.03088597210828548,0.03088597210828548,1.0
"{}","{bronchitis}",0.03133716160787531,0.03133716160787531,1.0
"{}","{chronic.disease}",0.0398687448728466,0.0398687448728466,1.0000000000000002
"{}","{asthma}",0.9778917145200985,0.9778917145200985,1.0
"{obesity}","{asthma}",0.011156685808039376,0.9577464788732394,0.9793993186078427
"{asthma}","{obesity}",0.011156685808039376,0.011408917411182417,0.9793993186078427
"{airway.obstruction}","{asthma}",0.01287940935192781,0.9602446483180428,0.9819539669474386
"{asthma}","{airway.obstruction}",0.01287940935192781,0.013170588482026761,0.9819539669474386
"{respiratory.tract.diseases}","{asthma}",0.014232977850697293,0.994269340974212,1.0167478936685244
"{asthma}","{respiratory.tract.diseases}",0.014232977850697293,0.014554758609118744,1.0167478936685244
"{asthma..exercise.induced}","{asthma}",0.015340442986054142,0.5373563218390804,0.5495049337878772
"{asthma}","{asthma..exercise.induced}",0.015340442986054142,0.015687261440375824,0.5495049337878772
"{cystic.fibrosis}","{asthma}",0.013699753896636588,0.9970149253731343,1.019555550547251
"{asthma}","{cystic.fibrosis}",0.013699753896636588,0.014009479468143115,1.019555550547251
"{rhinitis}","{asthma}",0.01911402789171452,0.9957264957264957,1.0182379919387594
"{asthma}","{rhinitis}",0.01911402789171452,0.019546159976511053,1.0182379919387596
"{pneumonia}","{asthma}",0.01513535684987695,0.9919354838709677,1.014361272462321
"{asthma}","{pneumonia}",0.01513535684987695,0.015477538693846734,1.014361272462321
"{bronchial.hyperreactivity}","{asthma}",0.027071369975389663,0.9606986899563319,0.9824182736099731
"{asthma}","{bronchial.hyperreactivity}",0.027071369975389663,0.027683402541839687,0.9824182736099731
"{eczema}","{asthma}",0.02317473338802297,0.9964726631393298,1.0190010287880902
"{asthma}","{eczema}",0.02317473338802297,0.023698670357787006,1.0190010287880904
"{rhinitis..allergic..perennial}","{asthma}",0.02461033634126333,0.9966777408637874,1.0192107429327266
"{asthma}","{rhinitis..allergic..perennial}",0.02461033634126333,0.025166729583490626,1.0192107429327266
"{dermatitis..atopic}","{asthma}",0.03088597210828548,0.9973509933774835,1.0198992164147078
"{asthma}","{dermatitis..atopic}",0.03088597210828548,0.03158424562728074,1.0198992164147078
"{rhinitis..allergic..seasonal}","{asthma}",0.03162428219852338,0.9922779922779923,1.0147115243377984
"{asthma}","{rhinitis..allergic..seasonal}",0.03162428219852338,0.03233924751478545,1.0147115243377984
"{acute.disease}","{asthma}",0.03880229696472518,0.9752577319587629,0.997306468065712
"{asthma}","{acute.disease}",0.03880229696472518,0.039679543643303554,0.9973064680657121
"{respiratory.tract.infections}","{asthma}",0.030639868744872848,0.9920318725099602,1.0144598402664666
"{asthma}","{respiratory.tract.infections}",0.030639868744872848,0.03133257833144583,1.0144598402664666
"{bronchitis}","{asthma}",0.031214109926168992,0.9960732984293194,1.0185926351959569
"{asthma}","{bronchitis}",0.031214109926168992,0.03191980202172728,1.0185926351959569
"{chronic.disease}","{asthma}",0.039663658736669404,0.9948559670781894,1.017347782281207
"{asthma}","{chronic.disease}",0.039663658736669404,0.04056037917872572,1.017347782281207
